wl,n
0.1400,1.503424322613
0.1457,1.4886211076878
0.1516,1.4760348184102
0.1578,1.4650807430246
0.1642,1.4556478095315
0.1708,1.4474684684638
0.1778,1.4401397867621
0.1850,1.4337444660296
0.1925,1.4280630605708
0.2003,1.4230049329721
0.2085,1.4184405980642
0.2169,1.4144133189838
0.2257,1.4107669160898
0.2349,1.4074668167692
0.2444,1.4045095934272
0.2544,1.4018034013023
0.2647,1.399375891974
0.2755,1.3971549326199
0.2866,1.3951594695563
0.2983,1.3933181557712
0.3104,1.3916496138095
0.3230,1.3901247165062
0.3361,1.3887316265201
0.3498,1.387450339017
0.3640,1.3862811597667
0.3788,1.3852070367528
0.3941,1.3842269347497
0.4101,1.383321235556
0.4268,1.3824854166927
0.4441,1.3817189546679
0.4622,1.3810083139712
0.4809,1.3803568185783
0.5005,1.3797500960693
0.5208,1.3791910597935
0.5420,1.3786708373441
0.5640,1.3781890013187
0.5869,1.3777404531746
0.6107,1.3773226516459
0.6355,1.3769315731974
0.6613,1.3765651830829
0.6882,1.3762201986406
0.7161,1.3758960146491
0.7452,1.3755885619824
0.7755,1.3752963735019
0.8070,1.375017930162
0.8397,1.3747516942111
0.8739,1.374493954794
0.9093,1.3742456741901
0.9463,1.3740027736186
0.9847,1.3737654004629
1.025,1.3735293904949
1.066,1.3733003775052
1.110,1.3730644847953
1.155,1.3728314705973
1.202,1.3725948360375
1.250,1.3723583505958
1.301,1.3721110084972
1.354,1.3718565585498
1.409,1.3715937360132
1.466,1.3713212472455
1.526,1.371032951845
1.588,1.3707322289362
1.652,1.3704176722998
1.719,1.3700828221577
1.789,1.3697259298747
1.862,1.369345141989
1.937,1.3689439282317
2.016,1.3685095581886
2.098,1.3680451752931
2.183,1.3675485551068
2.272,1.3670112471305
2.364,1.3664365577474
2.460,1.365815369073
2.560,1.365144321667
2.664,1.3644198745422
2.772,1.3636383011659
2.885,1.3627880115892
3.002,1.361871939257
3.124,1.3608773967154
3.251,1.3597987513913
3.383,1.3586300322509
3.520,1.3573649116575
3.663,1.3559868412498
3.812,1.3544874066516
3.967,1.3528576211273
4.128,1.3510878843804
4.295,1.3491679353
4.470,1.3470621826524
4.651,1.3447811623278
4.840,1.3422850449458
5.037,1.3395561345565
5.242,1.336575206365
5.454,1.3333369973548
5.676,1.3297717333128
5.906,1.3258841270052
6.146,1.3216101561257
6.396,1.3169136052771
6.656,1.3117542557778
6.926,1.3060872953615
7.207,1.2998397246206
7.500,1.292926724049
